lotincha_nom,qoraqalpoqcha_nom,manba
Trachomitum venetum (L.) Woodson var. scabrum (Beg. et Bell.),кзылкендир,Ережепов 1978
Tribulus terrestris L.,"темирткен, темиртикен",Ережепов 1978 + Шербаев 1988
Trifolium repens L.,"жабайыжонгыршка, акбасхонгыршка",Ережепов 1978
Trigonotis peduncularis (Trev.) Benth. ex Baker et S. Moore,таспа шоп,Шербаев 1988
Triticum aestivum L.,жазлык бийдай,Шербаев 1988
Triticum durum Desf.,катты бийдай,Шербаев 1988
Tulipa bifloriformis Vved.,жабайылала,Ережепов 1978
Tulipa buhseana Boiss.,жабайылала,Ережепов 1978
Tulipa lehmanniana Merckl.,жабайылала,Ережепов 1978
Tulipa sogdiana Bunge,жабайылала,Ережепов 1978
Typha foveolata Pobed.,"жекен, кога",Ережепов 1978
Typha grossheimii Pobed.,"жекен, кога",Ережепов 1978
Typha laxmannii Lepech.,"жекен, кога",Ережепов 1978
Typha pallida Pobed.,"жекен, кога",Ережепов 1978
Ulmus pumila L.,караагаш,Шербаев 1988
Xanthium strumarium L.,ошаган,Ережепов 1978 + Шербаев 1988
Ziziphora tenuior L.,"киикоты, кийикоты",Ережепов 1978 + Шербаев 1988
Zygophyllum fabago L. var. oxianum (Boriss.) Kitam.,"палаты, туйетабан",Ережепов 1978
